ALL SCPP DATA FOR 1986 (fall) AND 1987 (January)

Beginning 861218 @ 10:25, the higher magnification on the sterio microscope was used to
image the ice particles (i.e. this data set).  Prior to that date, lower magnification 
was used and the data quality is inferior.  See Mitchell et al. (1990, JAM).

Note: Confidence rating refers to snow type. From most to least confident => 1, 2, 3. 
"0" means not applicable.

Temperature of origin refers to the midpoint temperature of the habit regime the ice particle
corresponds to.  Temperature uncertainty indicates the extent of the habit regime (i.e. the
midpoint minus temp. uncertainty to the mean plus temp. uncertainty).

For ice particle shape classification, R- indicates ice particle is rimed; -A means the ice
particle is an aggregate with possibly other less dominant habits present; -F means the ice
particle is an ice crystal fragment; -FA means the ice particle is an aggregate consisting
largely of crystal fragments.  For habit classifications, see Magono and Lee scheme in 
Pruppacher and Klett.

X and Y refer to coordinates on a grid superimposed on a projector screen and were used 
to locate the particle image on a slide.


Date   Time    X     Y      Image  Image  Actual Actual  Mass    Temp.   Temp. Snow  Confidence
                            ice    drop   ice    drop            of    uncert. type  rating
                            length length length length          origin
                            (cm)   (cm)   (mm)   (mm)    (mg)   (deg. C)  (C)

861218 1210  28.00  40.00   3.30   3.00    .31    .28  .590E-02  -15.00   5.00 R3B-F    2 
861218 1210  77.00  24.00  13.50   6.10   1.27    .57  .496E-01  -15.00   5.00 R3B-FA   1 
861218 1210  99.00  27.00  17.50   8.30   1.65    .78  .125E+00  -15.00   5.00 R3B-FA   2 
861218 1210  41.00  61.00  16.00   6.20   1.51    .58  .521E-01  -15.00   5.00 R3B-FA   2 
861218 1210  73.00  55.00   6.00   3.30    .56    .31  .785E-02  -15.00   5.00 R3B-F    1 
861218 1210  81.00  48.00  17.00   5.60   1.60    .53  .384E-01  -15.00   5.00 R3B-FA   2 
861218 1210  97.00  46.00   5.20   2.90    .49    .27  .533E-02  999.00 999.00 I4       0 
861218 1218   3.00  21.00   5.50   3.10    .52    .29  .651E-02  -15.00   5.00 R3B-F    2 
861218 1218  10.00  10.00   9.40   4.80    .89    .45  .242E-01  -15.00   5.00 R3B-FA   2 
861218 1218  14.00   2.00   5.40   3.00    .51    .28  .590E-02  999.00 999.00 I4       0 
861218 1218  18.00   2.00   4.40   2.50    .41    .24  .341E-02  999.00 999.00 I4       0 
861218 1218  17.00  13.00   9.00   4.40    .85    .41  .186E-01  -15.00   5.00 R3B-F    1 
861218 1218  18.00  18.00   7.50   3.30    .71    .31  .785E-02  -15.00   5.00 R3B-F    3 
861218 1218  22.00  10.00  13.80   6.10   1.30    .57  .496E-01  -15.00   5.00 R3B-FA   2 
861218 1218  29.00   5.00   4.00   1.90    .38    .18  .150E-02  -15.00   5.00 R3B-F    3 
861218 1218  39.00  19.00  11.00   5.10   1.04    .48  .290E-01  -15.00   5.00 R3B-FA   1 
861218 1218  41.00  13.00   6.00   3.50    .56    .33  .937E-02  -15.00   5.00 R3B-F    2 
861218 1218  40.00  11.00   3.50   2.60    .33    .24  .384E-02  -15.00   5.00 R3B-F    2 
861218 1218  44.00   9.00   2.00   1.40    .19    .13  .600E-03  999.00 999.00 I4       0 
861218 1218  79.00   9.00   2.50   1.80    .24    .17  .127E-02  999.00 999.00 I4       0 
861218 1218  89.00  20.00   1.90   1.70    .18    .16  .107E-02  999.00 999.00 I4       0 
861218 1218   1.00  29.00  14.80   6.80   1.39    .64  .687E-01  -15.00   5.00 R3B-FA   2 
861218 1218   7.00  30.00   1.70   1.60    .16    .15  .895E-03  -25.00   5.00 C2B      3 
861218 1218  11.00  31.00   2.50   1.80    .24    .17  .127E-02  999.00 999.00 I4       0 
861218 1218  19.00  44.00  15.80   5.50   1.49    .52  .364E-01  -15.00   5.00 R3B-FA   2 
861218 1218  21.00  25.00   6.50   3.30    .61    .31  .785E-02  -15.00   5.00 R3B-F    2 
861218 1218  23.00  31.00   3.50   1.80    .33    .17  .127E-02   -7.00   1.00 R-N1E    3 
861218 1218  26.00  26.00   2.50   1.50    .24    .14  .738E-03  999.00 999.00 I4       0 
861218 1218  27.00  32.00   3.80   2.30    .36    .22  .266E-02   -7.00   1.00 R-N2C    3 
861218 1218  28.00  23.00   4.00   2.80    .38    .26  .480E-02   -7.00   1.00 R-N1E    2 
861218 1218  29.00  27.00   4.60   2.30    .43    .22  .266E-02   -7.00   1.00 R-N2C    2 
861218 1218  31.00  30.00   3.20   2.90    .30    .27  .533E-02  999.00 999.00 I4       0 
861218 1218  36.00  30.00   2.40   2.00    .23    .19  .175E-02  -15.00   5.00 R3B      2 
861218 1218  37.00  24.00   2.90   2.10    .27    .20  .202E-02   -7.00   1.00 R-N2C    2 
861218 1218  43.00  30.00  13.00   5.00   1.22    .47  .273E-01  -15.00   5.00 R3B-FA   1 
861218 1218  49.00  23.00   5.20   2.10    .49    .20  .202E-02   -7.00   1.00 N2C      2 
861218 1218  49.00  44.00  25.20   8.00   2.37    .75  .112E+00  -15.00   1.50 R2B      1 
861218 1218  58.00  24.00   6.50   3.00    .61    .28  .590E-02   -7.00   1.00 R-N1E    3 
861218 1218  61.00  26.00   8.80   2.10    .83    .20  .202E-02   -7.00   1.00 N1E      1 
861218 1218  68.00  42.00  14.00   5.30   1.32    .50  .325E-01  -15.00   5.00 R3B-FA   2 
861218 1218  69.00  36.00   2.60   1.85    .24    .17  .138E-02  999.00 999.00 I4       0 
861218 1218  70.00  32.00   7.40   2.90    .70    .27  .533E-02  -15.00   5.00 R3B-F    2 
861218 1218  75.00  34.00   4.40   2.90    .41    .27  .533E-02  -15.00   5.00 R3B-F    2 
861218 1218  81.00  32.00   6.30   2.90    .59    .27  .533E-02  -15.00   5.00 R3B-F    3 
861218 1218  89.00  40.00  32.00  11.60   3.01   1.09  .341E+00  -15.00   5.00 R3B-FA   1 
861218 1218   2.00  63.00   8.00   6.25    .75    .59  .534E-01  -15.00   5.00 R3B      1 
861218 1218  14.00  52.00   7.30   3.85    .69    .36  .125E-01  -15.00   5.00 R3B-F    2 
861218 1218  24.00  62.00   8.20   4.50    .77    .42  .199E-01   -7.00   1.00 R-N2C    2 
861218 1218  24.00  52.00  11.00   5.30   1.04    .50  .325E-01  -15.00   5.00 R3B-FA   2 
861218 1218  38.00  50.00  11.00   3.00   1.04    .28  .590E-02  -15.00   1.50 P1E-F    2 
861218 1218  40.00  53.00   4.00   2.80    .38    .26  .480E-02  -15.00   5.00 R3B-F    3 
861218 1218  43.00  61.00   6.20   3.50    .58    .33  .937E-02  -15.00   5.00 R3B-FA   2 
861218 1218  70.00  64.00   3.70   2.40    .35    .23  .302E-02  999.00 999.00 I4       0 
861218 1218  72.00  50.00  13.00   4.70   1.22    .44  .227E-01  -15.00   5.00 R3B-F    2 
861218 1218  92.00  50.00   4.50   2.50    .42    .24  .341E-02  999.00 999.00 I4       0 
861218 1218  91.00  58.00  10.20   5.00    .96    .47  .273E-01  -15.00   5.00 R3B-FA   2 
861218 1230   3.00   1.00   7.50   5.80    .71    .55  .426E-01  -15.00   5.00 R3B      2 
861218 1230  13.00  22.00   5.80   4.50    .55    .42  .199E-01  999.00 999.00 R4B      2 
861218 1230  20.00  19.00   4.10   2.50    .39    .24  .341E-02   -7.00   1.00 R-N2C    3 
861218 1230  53.00   1.00   3.60   2.30    .34    .22  .266E-02  -15.00   5.00 R3B-F    2 
861218 1230   7.00  24.00   4.30   3.00    .40    .28  .590E-02   -7.00   1.00 R-N2C    2 
